task_name,ecr_image_uri,image_digest,image_ref_pinned,in_ecr,pushed_at,size_mb,language,category,repo,pass_at_8
aiven-terraform-provider-aiven-1521,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:aiven-terraform-provider-aiven-1521,sha256:413652cc3fea8ce65c34fe92aee201d40ba4916feb4db37594861f27c41c133d,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:413652cc3fea8ce65c34fe92aee201d40ba4916feb4db37594861f27c41c133d,yes,2026-07-01 15:59:08.230000+00:00,1267.7,go,Debugging and Repair,aiven/terraform-provider-aiven,0/8
akuity-kargo-1486,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:akuity-kargo-1486,sha256:4fb61925e2b7b89604674cef220f5ff33099f6906306e86a6bfa4488825e8754,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:4fb61925e2b7b89604674cef220f5ff33099f6906306e86a6bfa4488825e8754,yes,2026-07-01 15:57:11.686000+00:00,688.2,go,Security,akuity/kargo,0/8
akuity-kargo-2187,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:akuity-kargo-2187,sha256:be692fd589913d9e76bde3e292f043b40a6ff1f7be2f2fbbe4c4295f874cbc3f,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:be692fd589913d9e76bde3e292f043b40a6ff1f7be2f2fbbe4c4295f874cbc3f,yes,2026-07-01 15:57:42.114000+00:00,851.4,go,Software Engineering,akuity/kargo,0/8
akuity-kargo-2431,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:akuity-kargo-2431,sha256:cea492ce8bf9a20468f5f1d647051e7dd5caf07e00a2c7768ee1bf5a6bd7e09b,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:cea492ce8bf9a20468f5f1d647051e7dd5caf07e00a2c7768ee1bf5a6bd7e09b,yes,2026-07-01 15:58:22.787000+00:00,985.2,go,Software Engineering,akuity/kargo,0/8
akuity-kargo-3151,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:akuity-kargo-3151,sha256:5fdfd044a9140021723baddba8e1897dda4f901858207895e48bb204cf40819c,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:5fdfd044a9140021723baddba8e1897dda4f901858207895e48bb204cf40819c,yes,,,go,Software Engineering,akuity/kargo,0/8
aleph-alpha-ts-rs-344,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:aleph-alpha-ts-rs-344,sha256:e41594722cba9e43e3dbb742422741373d375ed206bf6bfac9b1c6b491e724c2,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:e41594722cba9e43e3dbb742422741373d375ed206bf6bfac9b1c6b491e724c2,yes,2026-07-01 15:59:19.618000+00:00,791.0,rust,Software Engineering,aleph-alpha/ts-rs,0/8
aleph-alpha-ts-rs-393,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:aleph-alpha-ts-rs-393,sha256:8c19912c395ce6c470396e159c0f5745cdc2741ce58c56cb021789307d3f702e,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:8c19912c395ce6c470396e159c0f5745cdc2741ce58c56cb021789307d3f702e,yes,2026-07-01 16:00:34.944000+00:00,883.6,rust,Software Engineering,aleph-alpha/ts-rs,0/8
alexpasmantier-television-568,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:alexpasmantier-television-568,sha256:0cf159d38a3d424e700e8ba7249383bbfdcb3cf895306ca42fade58704211a53,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:0cf159d38a3d424e700e8ba7249383bbfdcb3cf895306ca42fade58704211a53,yes,2026-07-01 16:02:54.013000+00:00,1612.1,rust,Software Engineering,alexpasmantier/television,0/8
ant-design-ant-design-16365,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:ant-design-ant-design-16365,sha256:f1c0bc4b0d151fbc5d9e5e71c57c7bf5d6e1802d6f62a3f424cbc13c293a0fc2,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:f1c0bc4b0d151fbc5d9e5e71c57c7bf5d6e1802d6f62a3f424cbc13c293a0fc2,yes,2026-07-01 14:20:48.305000+00:00,436.8,javascript,Software Engineering,ant-design/ant-design,0/8
ant-design-ant-design-32084,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:ant-design-ant-design-32084,sha256:aeba602c87234dd58c1269e0ffb47e1478c662ba89dfdd9d2e27ddf73d397342,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:aeba602c87234dd58c1269e0ffb47e1478c662ba89dfdd9d2e27ddf73d397342,yes,2026-07-01 14:21:52.805000+00:00,623.3,javascript,Software Engineering,ant-design/ant-design,0/8
ant-design-ant-design-46596,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:ant-design-ant-design-46596,sha256:2a7d1e1fe0f727218f223bc2f30af9cc710430e3c5f3958226a0fb49619c1b94,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:2a7d1e1fe0f727218f223bc2f30af9cc710430e3c5f3958226a0fb49619c1b94,yes,2026-07-01 14:25:13.152000+00:00,1373.1,typescript,Software Engineering,ant-design/ant-design,1/8
antrea-io-antrea-5989,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:antrea-io-antrea-5989,sha256:1786489e6293c813d68d474ab805331953936022dfc8ba951925c0da94be4e99,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:1786489e6293c813d68d474ab805331953936022dfc8ba951925c0da94be4e99,yes,2026-07-01 16:00:28.725000+00:00,1041.0,go,Software Engineering,antrea-io/antrea,0/8
antrea-io-antrea-6080,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:antrea-io-antrea-6080,sha256:b2e35d369e4082ff0de47cba5af9ea9d95573e75bfd3a263d788ef5e62244e9a,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:b2e35d369e4082ff0de47cba5af9ea9d95573e75bfd3a263d788ef5e62244e9a,yes,2026-07-01 15:59:33.662000+00:00,1030.3,go,Security,antrea-io/antrea,0/8
antrea-io-antrea-7465,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:antrea-io-antrea-7465,sha256:c59a482dd9502e21b6c46eacced14e523605b0cc9474415556d27a3389c3edb5,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:c59a482dd9502e21b6c46eacced14e523605b0cc9474415556d27a3389c3edb5,yes,2026-07-01 15:56:12.388000+00:00,680.6,go,Software Engineering,antrea-io/antrea,0/8
apache-airflow-16609,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-airflow-16609,sha256:28f6924673f0d200919c70e90472166d120f16aa7c9ce9278a5a13c3b6e220a5,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:28f6924673f0d200919c70e90472166d120f16aa7c9ce9278a5a13c3b6e220a5,yes,2026-07-01 14:21:14.570000+00:00,637.9,python,Software Engineering,apache/airflow,1/8
apache-airflow-34225,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-airflow-34225,sha256:36af360616d7460c85974b1f3c6b538ba9d44de021cb8a5afc4b6cbe12f67773,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:36af360616d7460c85974b1f3c6b538ba9d44de021cb8a5afc4b6cbe12f67773,yes,2026-07-01 14:19:34.416000+00:00,739.5,python,Software Engineering,apache/airflow,2/8
apache-airflow-36619,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-airflow-36619,sha256:3d012303ab85b310f0da6e09d01fc8f722a144100a27b8af255a09abbf24f5bf,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:3d012303ab85b310f0da6e09d01fc8f722a144100a27b8af255a09abbf24f5bf,yes,2026-07-01 14:19:51.029000+00:00,686.8,python,Security,apache/airflow,0/8
apache-airflow-38472,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-airflow-38472,sha256:37c913c7868c51eaba26f71fbbd133a8cc8cb723bdb98309387b8f7ea3937480,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:37c913c7868c51eaba26f71fbbd133a8cc8cb723bdb98309387b8f7ea3937480,yes,2026-07-01 12:44:00.596000+00:00,485.5,python,Software Engineering,apache/airflow,0/8
apache-airflow-39138,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-airflow-39138,sha256:2b3e0fb514c38f097ba7a48819d52bd633e6545ffdf357041245840092c02053,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:2b3e0fb514c38f097ba7a48819d52bd633e6545ffdf357041245840092c02053,yes,2026-07-01 12:45:51.719000+00:00,616.5,python,Software Engineering,apache/airflow,3/8
apache-airflow-39923,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-airflow-39923,sha256:3ff86e4f92a40add503924ddf2035f81da5156c902f88c7891e35f53194a2f04,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:3ff86e4f92a40add503924ddf2035f81da5156c902f88c7891e35f53194a2f04,yes,2026-07-01 12:44:48.593000+00:00,801.8,python,Software Engineering,apache/airflow,4/8
apache-airflow-40693,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-airflow-40693,sha256:7175de1b318693fc4b352508bdc8faf9ecb868e1a850c8af6f6723d3c8884936,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:7175de1b318693fc4b352508bdc8faf9ecb868e1a850c8af6f6723d3c8884936,yes,2026-07-01 12:38:39.891000+00:00,628.2,python,Software Engineering,apache/airflow,2/8
apache-airflow-42004,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-airflow-42004,sha256:ba45b710d40230d2ececa8f955d3865616d619fab3f64b664871eff59d175f4f,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:ba45b710d40230d2ececa8f955d3865616d619fab3f64b664871eff59d175f4f,yes,2026-07-01 12:39:04.545000+00:00,669.6,python,Security,apache/airflow,3/8
apache-airflow-44712,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-airflow-44712,sha256:7476a781c2412e2d1a1bbe474905d1d234b99b3069b04488173569d58ae0a4bc,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:7476a781c2412e2d1a1bbe474905d1d234b99b3069b04488173569d58ae0a4bc,yes,2026-07-01 12:38:51.048000+00:00,655.4,python,Software Engineering,apache/airflow,0/8
apache-airflow-47814,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-airflow-47814,sha256:b6b6051dcb709dba4f2c1fc05353f081dd2a2aa62ca1b3ec14ce9cfe09a4ee1a,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:b6b6051dcb709dba4f2c1fc05353f081dd2a2aa62ca1b3ec14ce9cfe09a4ee1a,yes,2026-07-01 12:45:00.591000+00:00,375.4,python,"Build, Dependency, and Release Management",apache/airflow,3/8
apache-airflow-6050,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-airflow-6050,sha256:6e3b882b9c6779c649934fd83f8512fbd32958c8792b2bb4dac8894643702483,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:6e3b882b9c6779c649934fd83f8512fbd32958c8792b2bb4dac8894643702483,yes,2026-07-01 14:19:17.343000+00:00,630.7,python,Security,apache/airflow,2/8
apache-airflow-7866,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-airflow-7866,sha256:37cf27e3ebd8493303daf566ecaa54d34a9ad8f361959dbc6f4b515a81d22c60,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:37cf27e3ebd8493303daf566ecaa54d34a9ad8f361959dbc6f4b515a81d22c60,yes,2026-07-01 15:54:14.458000+00:00,420.4,python,Software Engineering,apache/airflow,1/8
apache-airflow-9273,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-airflow-9273,sha256:e68af37bd3ddba3d4b223db4c679258d1752bfcbe9082f15dbacd20289cd7590,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:e68af37bd3ddba3d4b223db4c679258d1752bfcbe9082f15dbacd20289cd7590,yes,2026-07-01 12:43:53.613000+00:00,604.8,python,Software Engineering,apache/airflow,2/8
apache-arrow-adbc-1497,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-arrow-adbc-1497,sha256:9b95111e8dfd7f4c061b1e3c3941eafa5c812e31e453401ab27a6e268713ed89,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:9b95111e8dfd7f4c061b1e3c3941eafa5c812e31e453401ab27a6e268713ed89,yes,2026-07-01 15:58:12.010000+00:00,1165.6,go,"Build, Dependency, and Release Management",apache/arrow-adbc,0/8
apache-arrow-adbc-1517,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-arrow-adbc-1517,sha256:118c19c88b9a8de83414af5710ae6d770aa56de92ff8d5e129a1291d78698755,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:118c19c88b9a8de83414af5710ae6d770aa56de92ff8d5e129a1291d78698755,yes,2026-07-01 12:42:58.721000+00:00,496.4,java,Data Querying and Databases,apache/arrow-adbc,3/8
apache-arrow-rs-7597,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-arrow-rs-7597,sha256:89bb162edc69f96d071c12124d3e7b77964780d2f86f46ce62aa9b7fe7140932,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:89bb162edc69f96d071c12124d3e7b77964780d2f86f46ce62aa9b7fe7140932,yes,2026-07-01 15:56:27.749000+00:00,859.7,rust,Software Engineering,apache/arrow-rs,0/8
apache-arrow-rs-7600,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-arrow-rs-7600,sha256:f5214c1ba54b149a55bf21eccc7d2d2f2dda4ecc1e322d6525af3e376f978e53,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:f5214c1ba54b149a55bf21eccc7d2d2f2dda4ecc1e322d6525af3e376f978e53,yes,2026-07-01 15:59:28.378000+00:00,1512.7,rust,Security,apache/arrow-rs,0/8
apache-arrow-rs-7841,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-arrow-rs-7841,sha256:e7fb31160e98b121e201656cea9284b262a5669f73d8f10d06a611992d50bc49,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:e7fb31160e98b121e201656cea9284b262a5669f73d8f10d06a611992d50bc49,yes,2026-07-01 16:03:18.064000+00:00,1575.9,rust,Software Engineering,apache/arrow-rs,1/8
apache-beam-10363,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-beam-10363,sha256:9a116bc5fbc8060219b665458db16494c103da2866aa3e011d674b42725218b8,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:9a116bc5fbc8060219b665458db16494c103da2866aa3e011d674b42725218b8,yes,2026-07-01 15:58:20.521000+00:00,1421.2,go,Debugging and Repair,apache/beam,0/8
apache-beam-4448,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-beam-4448,sha256:fde8c53a75cafa6a0b33a8aaf9b706072338d72e42c843018a199a6aa6669cc5,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:fde8c53a75cafa6a0b33a8aaf9b706072338d72e42c843018a199a6aa6669cc5,yes,2026-07-01 12:43:31.830000+00:00,511.6,java,Data Querying and Databases,apache/beam,4/8
apache-beam-4699,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-beam-4699,sha256:06dd0653f169f719dbb2efcbfb4aacb968ecb180562ee133c9c7c2335a091a18,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:06dd0653f169f719dbb2efcbfb4aacb968ecb180562ee133c9c7c2335a091a18,yes,2026-07-01 12:48:15.493000+00:00,654.9,java,Data Querying and Databases,apache/beam,4/8
apache-bookkeeper-4188,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-bookkeeper-4188,sha256:f919d3d48769c67f5567c9edd76870f5fa446759edb1977d7536a23d1cfedd87,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:f919d3d48769c67f5567c9edd76870f5fa446759edb1977d7536a23d1cfedd87,yes,2026-07-01 14:24:15.410000+00:00,701.3,java,Software Engineering,apache/bookkeeper,4/8
apache-calcite-3792,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-calcite-3792,sha256:95ccfa571352c7762426959abf0aa0d894acedad02d669b966e9c5ff91ab610b,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:95ccfa571352c7762426959abf0aa0d894acedad02d669b966e9c5ff91ab610b,yes,2026-07-01 14:23:32.215000+00:00,968.0,java,Software Engineering,apache/calcite,0/8
apache-camel-k-5057,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-camel-k-5057,sha256:449fda2342811657cc08924572ee4dc7c4f91891332a0330d20ca9d30ba10678,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:449fda2342811657cc08924572ee4dc7c4f91891332a0330d20ca9d30ba10678,yes,2026-07-01 15:58:37.540000+00:00,1126.8,go,Software Engineering,apache/camel-k,0/8
apache-camel-k-6255,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-camel-k-6255,sha256:a4d48fc468166e0be0473ebc491e0f5c1ff03575c0dd399bfc9570ce3b16aa7f,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:a4d48fc468166e0be0473ebc491e0f5c1ff03575c0dd399bfc9570ce3b16aa7f,yes,2026-07-01 15:59:58.725000+00:00,1532.9,go,Software Engineering,apache/camel-k,0/8
apache-datafusion-11311,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-datafusion-11311,sha256:1b0459e3ccdec8e3a7b2667faece03647453bc3f5bfec83515cb3904b6b1a730,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:1b0459e3ccdec8e3a7b2667faece03647453bc3f5bfec83515cb3904b6b1a730,yes,2026-07-01 16:06:40.740000+00:00,1911.3,rust,Software Engineering,apache/datafusion,0/8
apache-datafusion-13880,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-datafusion-13880,sha256:da49a5d14449a3fdc61ae284e4247eb6c855a1e1a0473b04f0ce6ac5240e0ad3,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:da49a5d14449a3fdc61ae284e4247eb6c855a1e1a0473b04f0ce6ac5240e0ad3,yes,2026-07-01 16:03:53.641000+00:00,1766.7,rust,Software Engineering,apache/datafusion,0/8
apache-datafusion-sqlparser-rs-1580,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-datafusion-sqlparser-rs-1580,sha256:630b42415b88579eb775fa0840842d3e804a34859e7eb77c485460093ad98cc0,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:630b42415b88579eb775fa0840842d3e804a34859e7eb77c485460093ad98cc0,yes,2026-07-01 16:01:00.664000+00:00,1034.6,rust,Software Engineering,apache/datafusion-sqlparser-rs,0/8
apache-datafusion-sqlparser-rs-2142,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-datafusion-sqlparser-rs-2142,sha256:b7fcc80610c5564e449de348bb542800b385d0dfa6ac0e2965067e6fad7ed7ce,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:b7fcc80610c5564e449de348bb542800b385d0dfa6ac0e2965067e6fad7ed7ce,yes,2026-07-01 15:57:23.752000+00:00,1105.3,rust,Software Engineering,apache/datafusion-sqlparser-rs,0/8
apache-dolphinscheduler-15652,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-dolphinscheduler-15652,sha256:f9099d9c8f03936993a8bc696178dfbe4f9e22016505ccf36f3dc3981cc9e18d,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:f9099d9c8f03936993a8bc696178dfbe4f9e22016505ccf36f3dc3981cc9e18d,yes,2026-07-01 12:53:00.377000+00:00,3913.4,java,Software Engineering,apache/dolphinscheduler,2/8
apache-druid-15495,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:apache-druid-15495,sha256:f9016709126bace97b2cb1470f9bce13e6e70a1b44175db79f97bc79d87b05c0,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:f9016709126bace97b2cb1470f9bce13e6e70a1b44175db79f97bc79d87b05c0,yes,2026-07-01 14:27:25.696000+00:00,1179.8,java,Debugging and Repair,apache/druid,4/8
